Title,Body,Labels,Priority
"Tesseract PSM festlegen","Den für den Benchmark verwendeten Page Segmentation Mode bestimmen.

## Akzeptanzkriterien
- [ ] Geeigneter PSM ausgewählt
- [ ] Entscheidung dokumentiert
- [ ] PSM konfigurierbar
- [ ] Für alle Benchmark-Bilder konsistent verwendet","ocr,tesseract,decision","medium"
"TesseractOcrEngine implementieren","Tesseract über das gemeinsame IOcrEngine-Interface anbinden.

## Akzeptanzkriterien
- [ ] IOcrEngine wird implementiert
- [ ] OCR-Ergebnis wird als OcrResult zurückgegeben
- [ ] Verarbeitungszeit wird erfasst
- [ ] Fehler werden behandelt","architecture,ocr,tesseract","high"
"GLM-OCR API-Verbindung einrichten","Verbindung vom OCR_Tester zum KI-PC über eine OpenAI-kompatible API herstellen.

## Akzeptanzkriterien
- [ ] API-Endpunkt konfigurierbar
- [ ] Verbindung zum KI-PC funktioniert
- [ ] Fehler bei nicht erreichbarem Server werden behandelt
- [ ] API-Key wird nicht im Quellcode gespeichert","ocr,glm-ocr,api","high"
"GLM-OCR Prompt definieren","Den für den Vergleich verwendeten Prompt festlegen und dokumentieren.

## Akzeptanzkriterien
- [ ] Prompt festgelegt
- [ ] Prompt dokumentiert
- [ ] Prompt konfigurierbar

**Standard-Prompt:** `Text Recognition`","ocr,glm-ocr,decision","medium"
"GlmOcrEngine implementieren","GLM-OCR über das gemeinsame IOcrEngine-Interface anbinden.

## Akzeptanzkriterien
- [ ] IOcrEngine wird implementiert
- [ ] Bild wird an GLM-OCR übertragen
- [ ] OCR-Text wird aus der Antwort extrahiert
- [ ] Verarbeitungszeit wird erfasst
- [ ] Fehler werden behandelt","architecture,ocr,glm-ocr","high"
"Tokenverbrauch von GLM-OCR erfassen","Prüfen und implementieren, wie Input- und Output-Tokens aus der API-Antwort ausgelesen werden können.

## Akzeptanzkriterien
- [ ] Input-Tokens werden erfasst, sofern verfügbar
- [ ] Output-Tokens werden erfasst, sofern verfügbar
- [ ] Gesamtzahl der Tokens wird berechnet
- [ ] Nicht verfügbare Werte werden korrekt behandelt","glm-ocr,metrics","medium"
"CER-Berechnung implementieren","Character Error Rate auf Basis der Levenshtein-Distanz berechnen.

## Akzeptanzkriterien
- [ ] Levenshtein-Distanz implementiert
- [ ] CER wird pro Bild berechnet
- [ ] CER wird als Prozentwert ausgegeben
- [ ] Leere Ground Truth wird behandelt","evaluation,metrics","high"
"OCR-Ergebnisse mit Ground Truth vergleichen","Die Ergebnisse beider OCR-Modelle mit der jeweiligen Ground Truth vergleichen.

## Akzeptanzkriterien
- [ ] Tesseract wird verglichen
- [ ] GLM-OCR wird verglichen
- [ ] Fehleranzahl wird gespeichert
- [ ] CER wird gespeichert","evaluation","high"
"Gesamt-CER berechnen","Zusätzlich zur CER pro Bild eine Gesamtbewertung über den gesamten Datensatz erstellen.

## Akzeptanzkriterien
- [ ] Gesamt-CER für Tesseract
- [ ] Gesamt-CER für GLM-OCR
- [ ] Werte werden im Ergebnis gespeichert","evaluation,metrics","medium"
"Zeitmessung pro Bild implementieren","Verarbeitungszeit jedes einzelnen Bildes für beide OCR-Modelle messen.

## Akzeptanzkriterien
- [ ] Tesseract-Zeit wird gemessen
- [ ] GLM-OCR-Zeit wird gemessen
- [ ] Zeit wird in Millisekunden gespeichert

**Technik:** Stopwatch","performance","high"
"Gesamt- und Durchschnittszeit berechnen","Aus den Einzelmessungen Gesamt- und Durchschnittszeiten berechnen.

## Akzeptanzkriterien
- [ ] Gesamtlaufzeit Tesseract
- [ ] Gesamtlaufzeit GLM-OCR
- [ ] Durchschnittszeit Tesseract
- [ ] Durchschnittszeit GLM-OCR","performance,metrics","medium"
"Kostenberechnung für GLM-OCR implementieren","Kosten anhand der verwendeten Tokens bzw. der definierten API-Preise berechnen.

## Akzeptanzkriterien
- [ ] Preis pro Token konfigurierbar
- [ ] Kosten pro Bild berechnet
- [ ] Gesamtkosten berechnet
- [ ] Preisquelle dokumentiert","cost,glm-ocr","medium"
"Tesseract-Kosten dokumentieren","Kostenmodell für die lokale Tesseract-Ausführung definieren und dokumentieren.

## Akzeptanzkriterien
- [ ] Kostenmodell definiert
- [ ] Hardwarekosten ggf. dokumentiert
- [ ] Berechnungsgrundlage dokumentiert","cost,tesseract","low"
"Hardwareinformationen definieren","Festlegen, welche Hardwareinformationen im Benchmark dokumentiert werden.

## Akzeptanzkriterien
- [ ] CPU definiert
- [ ] GPU definiert
- [ ] RAM definiert
- [ ] VRAM definiert
- [ ] Weitere relevante Informationen festgelegt","hardware,documentation","medium"
"Hardwareinformationen in Ergebnisdatei aufnehmen","Die definierten Hardwareinformationen als feste Konfigurationsdaten in die Ergebnisse aufnehmen.

## Akzeptanzkriterien
- [ ] Hardwareinformationen werden gespeichert
- [ ] Tesseract-Hardware dokumentiert
- [ ] GLM-OCR-Hardware dokumentiert
- [ ] Informationen sind eindeutig zugeordnet","hardware,output","medium"
"Ergebnisdatenmodell erstellen","Datenmodell für die Benchmark-Ergebnisse definieren.

## Akzeptanzkriterien
- [ ] OCR-Ergebnis definiert
- [ ] CER definiert
- [ ] Laufzeit definiert
- [ ] Tokenverbrauch definiert
- [ ] Kosten definiert
- [ ] Hardwareinformationen definiert","architecture,output","high"
"JSON-Result-Writer implementieren","Alle Benchmark-Ergebnisse in einer JSON-Datei speichern.

## Akzeptanzkriterien
- [ ] Ergebnisdatei wird automatisch erstellt
- [ ] Ergebnisse pro Bild enthalten
- [ ] Zusammenfassung enthalten
- [ ] Tesseract-Ergebnisse enthalten
- [ ] GLM-OCR-Ergebnisse enthalten
- [ ] Hardwareinformationen enthalten","output,json","high"
"Ergebnisdateien versioniert ablegen","Für jeden Benchmark-Durchlauf einen eigenen Ergebnisordner erstellen.

Beispiel: `results/2026-08-31_10-30-00/results.json`

## Akzeptanzkriterien
- [ ] Jeder Durchlauf erhält einen eindeutigen Ordner
- [ ] Ergebnisse werden nicht überschrieben
- [ ] Zeitstempel wird verwendet","output","medium"
"Fortschrittsanzeige implementieren","Während der Verarbeitung den Fortschritt des aktuellen Benchmarks anzeigen.

## Akzeptanzkriterien
- [ ] Fortschritt wird angezeigt
- [ ] Anzahl der verarbeiteten Bilder wird angezeigt
- [ ] Fortschritt für Tesseract und GLM-OCR ist nachvollziehbar","console-ui","medium"
"Ergebnisübersicht in der Konsole implementieren","Nach Abschluss des Vergleichs eine übersichtliche Zusammenfassung ausgeben.

Anzuzeigen sind mindestens CER, Gesamtzeit, Durchschnittszeit und Kosten.","console-ui,output","medium"
"Unit Tests für CER implementieren","Unit Tests für die CER-Berechnung erstellen.

## Akzeptanzkriterien
- [ ] Test für identische Texte
- [ ] Test für einzelne Fehler
- [ ] Test für fehlende Zeichen
- [ ] Test für zusätzliche Zeichen
- [ ] Test für leere Strings","testing","high"
"Ground-Truth-Reader testen","Unit Tests für den Ground-Truth-Reader erstellen.

## Akzeptanzkriterien
- [ ] Gültige JSON-Datei
- [ ] Ungültige JSON-Datei
- [ ] Fehlende Bildreferenz
- [ ] Leere Ground Truth","testing","medium"
"OCR-Fehlerbehandlung testen","Fehlerfälle bei Tesseract und GLM-OCR testen.

## Akzeptanzkriterien
- [ ] Nicht vorhandenes Bild
- [ ] Ungültiges Bildformat
- [ ] Tesseract-Fehler
- [ ] GLM-OCR nicht erreichbar
- [ ] API-Fehler","testing","medium"
"Fehlerbehandlung und Logging vervollständigen","Fehlerbehandlung und Logging für die gesamte Anwendung vervollständigen.

## Akzeptanzkriterien
- [ ] Fehler werden verständlich ausgegeben
- [ ] API-Fehler werden behandelt
- [ ] Datei-/Pfadfehler werden behandelt
- [ ] OCR-Fehler werden behandelt
- [ ] Programm stürzt bei erwartbaren Fehlern nicht ab","quality,logging","medium"
"README erstellen","Projekt und Verwendung vollständig dokumentieren.

## Akzeptanzkriterien
- [ ] Projektbeschreibung
- [ ] Voraussetzungen
- [ ] Installation
- [ ] Konfiguration
- [ ] Tesseract-Setup
- [ ] GLM-OCR-Setup
- [ ] Verwendung
- [ ] Ergebnisformat
- [ ] Lizenz","documentation","low"
"Lizenz festlegen","Lizenz für das Projekt auswählen und dokumentieren.

## Akzeptanzkriterien
- [ ] Lizenz ausgewählt
- [ ] LICENSE-Datei erstellt
- [ ] Lizenz im README dokumentiert
- [ ] Lizenzen verwendeter Drittanbieter geprüft","legal,documentation","low"
"End-to-End-Benchmark durchführen","Einen vollständigen Testlauf mit einem definierten Testdatensatz durchführen.

## Akzeptanzkriterien
- [ ] Testdatensatz vorhanden
- [ ] Tesseract funktioniert
- [ ] GLM-OCR funktioniert
- [ ] Ground Truth wird korrekt geladen
- [ ] CER wird berechnet
- [ ] Laufzeiten werden erfasst
- [ ] Tokenverbrauch wird erfasst, sofern verfügbar
- [ ] Kosten werden berechnet
- [ ] Ergebnisdatei wird erstellt
- [ ] Konsolenausgabe ist korrekt","testing,benchmark","high"
